"2011 census frozen ward","mnemonic","Total","Male","Female"
"Bank Top","E36000089",165,100,70
"Central","E36000090",310,200,110
"Cockerton East","E36000091",70,35,40
"Cockerton West","E36000092",160,100,60
"College","E36000093",55,35,20
"Eastbourne","E36000094",205,125,85
"Faverdale","E36000095",25,15,10
"Harrowgate Hill","E36000096",90,45,45
"Haughton East","E36000097",155,90,65
"Haughton North","E36000098",50,30,20
"Haughton West","E36000099",85,50,35
"Heighington and Coniscliffe","E36000100",30,15,15
"Hummersknott","E36000101",20,15,5
"Hurworth","E36000102",40,25,15
"Lascelles","E36000103",160,95,70
"Lingfield","E36000104",100,55,45
"Middleton St George","E36000105",50,30,25
"Mowden","E36000106",25,10,15
"North Road","E36000107",315,200,120
"Northgate","E36000108",290,185,100
"Park East","E36000109",285,165,120
"Park West","E36000110",30,20,10
"Pierremont","E36000111",175,115,60
"Sadberge and Whessoe","E36000112",20,10,5
"Annfield Plain","E36001063",265,165,100
"Aycliffe East","E36001064",145,90,60
"Aycliffe North","E36001065",150,100,50
"Aycliffe West","E36001066",235,130,105
"Barnard Castle East","E36001067",105,60,45
"Barnard Castle West","E36001068",60,35,25
"Belmont","E36001069",50,35,15
"Benfieldside","E36001070",95,60,35
"Bishop Auckland Town","E36001071",225,130,100
"Blackhalls","E36001072",255,150,105
"Brandon","E36001073",265,165,100
"Burnopfield and Dipton","E36001074",110,60,45
"Chester-le-Street North and East","E36001075",100,60,45
"Chester-le-Street South","E36001076",110,75,35
"Chester-le-Street West Central","E36001077",275,165,110
"Chilton","E36001078",285,180,105
"Consett North","E36001079",190,120,70
"Coundon","E36001080",350,230,120
"Coxhoe","E36001081",135,85,50
"Craghead and South Moor","E36001082",365,210,155
"Crook North and Tow Law","E36001083",210,135,75
"Crook South","E36001084",285,170,115
"Dawdon","E36001085",320,210,110
"Deerness Valley","E36001086",215,130,85
"Delves Lane and Consett South","E36001087",285,165,120
"Deneside","E36001088",200,130,70
"Durham South","E36001089",120,70,50
"Easington","E36001090",285,180,105
"Elvet","E36001091",70,60,10
"Esh","E36001092",95,50,50
"Evenwood","E36001093",160,90,70
"Ferryhill","E36001094",315,190,125
"Framwellgate Moor","E36001095",130,70,60
"Gilesgate","E36001096",215,120,90
"Horden","E36001097",435,265,165
"Lanchester","E36001098",80,45,35
"Leadgate and Medomsley","E36001099",180,95,80
"Lumley","E36001100",125,75,50
"Murton","E36001101",220,120,100
"Neville's Cross","E36001102",35,25,10
"Newton Hall","E36001103",65,40,20
"Ouston and Urpeth","E36001104",130,80,50
"Pelton","E36001105",140,90,50
"Peterlee East","E36001106",335,205,135
"Peterlee West","E36001107",210,125,85
"Sacriston","E36001108",185,125,60
"Seaham","E36001109",105,55,50
"Sedgefield","E36001110",50,30,20
"Sherburn","E36001111",165,85,80
"Shildon East","E36001112",290,175,120
"Shildon West","E36001113",305,180,120
"Shotton","E36001114",275,170,110
"Spennymoor and Middlestone","E36001115",215,135,80
"Stanley","E36001116",310,185,125
"Tanfield","E36001117",190,110,80
"Thornley","E36001118",210,125,85
"Trimdon","E36001119",195,115,80
"Tudhoe","E36001120",200,115,80
"Weardale","E36001121",115,60,55
"West Auckland","E36001122",170,105,65
"Willington","E36001123",280,170,110
"Wingate","E36001124",215,125,85
"Woodhouse Close","E36001125",340,215,125
"Brus","E36000001",360,215,145
"Burn Valley","E36000002",345,225,120
"Dyke House","E36000003",305,165,140
"Elwick","E36000004",15,10,5
"Fens","E36000005",85,50,35
"Foggy Furze","E36000006",205,140,70
"Grange","E36000007",285,180,105
"Greatham","E36000008",30,20,10
"Hart","E36000009",65,45,20
"Owton","E36000010",320,190,130
"Park","E36000011",55,30,25
"Rift House","E36000012",210,125,85
"Rossmere","E36000013",175,105,70
"Seaton","E36000014",95,55,35
"St Hilda","E36000015",220,145,70
"Stranton","E36000016",485,320,160
"Throston","E36000017",135,85,50
"Acklam","E36000018",80,55,25
"Ayresome","E36000019",200,105,95
"Beckfield","E36000020",225,155,70
"Beechwood","E36000021",245,130,115
"Brookfield","E36000022",45,30,15
"Clairville","E36000023",240,145,95
