"Ward","Code","Total","Male","Female","wards","Age","Aged 18-24"
"Bank Top","E36000089",35,20,15
"Central","E36000090",80,45,35
"Cockerton East","E36000091",20,5,15
"Cockerton West","E36000092",35,25,10
"College","E36000093",5,5,5
"Eastbourne","E36000094",40,25,20
"Faverdale","E36000095",5,0,5
"Harrowgate Hill","E36000096",10,5,5
"Haughton East","E36000097",40,25,15
"Haughton North","E36000098",15,10,5
"Haughton West","E36000099",20,10,10
"Heighington and Coniscliffe","E36000100",5,5,5
"Hummersknott","E36000101",5,5,5
"Hurworth","E36000102",10,5,5
"Lascelles","E36000103",45,25,20
"Lingfield","E36000104",20,15,5
"Middleton St George","E36000105",5,5,0
"Mowden","E36000106",5,0,0
"North Road","E36000107",70,45,25
"Northgate","E36000108",50,30,20
"Park East","E36000109",60,30,30
"Park West","E36000110",10,5,0
"Pierremont","E36000111",35,30,10
"Sadberge and Whessoe","E36000112",5,5,0
"Annfield Plain","E36001063",55,35,20
"Aycliffe East","E36001064",30,20,10
"Aycliffe North","E36001065",35,25,10
"Aycliffe West","E36001066",60,30,30
"Barnard Castle East","E36001067",25,20,10
"Barnard Castle West","E36001068",10,10,5
"Belmont","E36001069",15,10,5
"Benfieldside","E36001070",35,20,15
"Bishop Auckland Town","E36001071",50,30,15
"Blackhalls","E36001072",50,25,25
"Brandon","E36001073",50,35,15
"Burnopfield and Dipton","E36001074",25,15,10
"Chester-le-Street North and East","E36001075",25,15,10
"Chester-le-Street South","E36001076",25,20,5
"Chester-le-Street West Central","E36001077",70,40,25
"Chilton","E36001078",50,30,20
"Consett North","E36001079",45,30,20
"Coundon","E36001080",70,50,20
"Coxhoe","E36001081",30,15,15
"Craghead and South Moor","E36001082",70,40,25
"Crook North and Tow Law","E36001083",50,35,15
"Crook South","E36001084",80,55,25
"Dawdon","E36001085",80,55,25
"Deerness Valley","E36001086",45,30,15
"Delves Lane and Consett South","E36001087",75,40,35
"Deneside","E36001088",60,40,20
"Durham South","E36001089",25,20,5
"Easington","E36001090",65,40,30
"Elvet","E36001091",10,5,0
"Esh","E36001092",25,15,10
"Evenwood","E36001093",30,25,5
"Ferryhill","E36001094",70,45,25
"Framwellgate Moor","E36001095",30,15,10
"Gilesgate","E36001096",50,30,25
"Horden","E36001097",80,45,35
"Lanchester","E36001098",15,10,5
"Leadgate and Medomsley","E36001099",35,15,20
"Lumley","E36001100",35,25,10
"Murton","E36001101",50,25,20
"Neville's Cross","E36001102",5,5,0
"Newton Hall","E36001103",20,15,5
"Ouston and Urpeth","E36001104",30,25,5
"Pelton","E36001105",35,20,15
"Peterlee East","E36001106",80,60,20
"Peterlee West","E36001107",60,45,15
"Sacriston","E36001108",30,20,10
"Seaham","E36001109",15,5,10
"Sedgefield","E36001110",15,10,5
"Sherburn","E36001111",40,25,15
"Shildon East","E36001112",80,55,20
"Shildon West","E36001113",60,35,25
"Shotton","E36001114",75,55,15
"Spennymoor and Middlestone","E36001115",50,30,20
"Stanley","E36001116",75,50,25
"Tanfield","E36001117",50,30,20
"Thornley","E36001118",50,25,25
"Trimdon","E36001119",45,30,15
"Tudhoe","E36001120",50,35,15
"Weardale","E36001121",15,10,5
"West Auckland","E36001122",35,25,10
"Willington","E36001123",70,45,25
"Wingate","E36001124",50,35,20
"Woodhouse Close","E36001125",85,50,30
"Brus","E36000001",75,45,30
"Burn Valley","E36000002",65,40,30
"Dyke House","E36000003",85,55,30
"Elwick","E36000004",5,5,5
"Fens","E36000005",25,10,10
"Foggy Furze","E36000006",45,35,10
"Grange","E36000007",60,30,25
"Greatham","E36000008",10,5,0
"Hart","E36000009",15,15,5
"Owton","E36000010",75,45,30
"Park","E36000011",20,10,10
"Rift House","E36000012",55,35,20
"Rossmere","E36000013",35,20,15
"Seaton","E36000014",25,15,10
"St Hilda","E36000015",50,30,15
"Stranton","E36000016",110,70,40
"Throston","E36000017",25,15,10
"Acklam","E36000018",25,15,10
"Ayresome","E36000019",40,25,20
"Beckfield","E36000020",45,30,15
"Beechwood","E36000021",40,20,20
"Brookfield","E36000022",10,5,5
"Clairville","E36000023",55,35,25
"Coulby Newham","E36000024",25,20,10
"Gresham","E36000025",115,75,35
"Hemlington","E36000026",45,25,15
"Kader","E36000027",15,10,5
"Ladgate","E36000028",35,20,15
"Linthorpe","E36000029",35,20,15
"Marton","E36000030",5,5,0
"Marton West","E36000031",10,5,5
"Middlehaven","E36000032",75,45,30
"North Ormesby and Brambles Farm","E36000033",85,55,35
"Nunthorpe","E36000034",5,5,0
"Pallister","E36000035",60,35,30
"Park","E36000036",30,20,10
"Park End","E36000037",65,45,20
"Stainton and Thornton","E36000038",10,5,0
"Thorntree","E36000039",95,70,25
"University","E36000040",65,35,25
"Alnwick","E36001126",25,20,5
"Amble","E36001127",20,15,10
"Amble West with Warkworth","E36001128",5,5,0
"Ashington Central","E36001129",50,30,20
"Bamburgh","E36001130",5,0,5
